Year + Month ,"Domestic Currency per U.S. Dollar, Period Average"
2011M06,"20,622.00"
2011M07,"20,610.00"
2011M08,"20,618.00"
2011M09,"20,628.00"
2011M10,"20,708.00"
2011M11,"20,803.00"
2011M12,"20,813.00"
2012M01,"20,828.00"
2012M02,"20,828.00"
2012M03,"20,828.00"
2012M04,"20,828.00"
2012M05,"20,828.00"
2012M06,"20,828.00"
2012M07,"20,828.00"
2012M08,"20,828.00"
2012M09,"20,828.00"
2012M10,"20,828.00"
2012M11,"20,828.00"
2012M12,"20,828.00"
2013M01,"20,828.00"
2013M02,"20,828.00"
2013M03,"20,828.00"
2013M04,"20,828.00"
2013M05,"20,828.00"
2013M06,"20,845.00"
2013M07,"21,036.00"
2013M08,"21,036.00"
2013M09,"21,036.00"
2013M10,"21,036.00"
2013M11,"21,036.00"
2013M12,"21,036.00"
2014M01,"21,036.00"
2014M02,"21,036.00"
2014M03,"21,036.00"
2014M04,"21,036.00"
2014M05,"21,036.00"
2014M06,"21,120.00"
2014M07,"21,246.00"
2014M08,"21,246.00"
2014M09,"21,246.00"
2014M10,"21,246.00"
2014M11,"21,246.00"
2014M12,"21,246.00"
2015M01,"21,436.00"
2015M02,"21,458.00"
2015M03,"21,458.00"
2015M04,"21,458.00"
2015M05,"21,673.00"
2015M06,"21,673.00"
2015M07,"21,764.81"
2015M08,"21,890.00"
2015M09,"21,890.00"
2015M10,"21,890.00"
2015M11,"21,890.00"
2015M12,"21,890.00"
2016M01,"21,904.83"
2016M02,"21,888.81"
2016M03,"21,874.78"
2016M04,"21,888.89"
2016M05,"21,888.08"
2016M06,"21,881.69"
2016M07,"21,871.81"
2016M08,"21,860.85"
2016M09,"21,941.08"
2016M10,"22,003.00"
2016M11,"22,078.00"
2016M12,"22,138.19"
2017M01,"22,172.14"
2017M02,"22,221.78"
2017M03,"22,254.19"
2017M04,"22,324.57"
2017M05,"22,373.19"
2017M06,"22,415.50"
2017M07,"22,438.71"
2017M08,"22,442.19"
2017M09,"22,445.58"
2017M10,"22,464.85"
2017M11,"22,451.04"
2017M12,"22,437.30"
2018M01,"22,410.65"
2018M02,"22,439.05"
2018M03,"22,454.44"
2018M04,"22,488.00"
2018M05,"22,575.04"
2018M06,"22,597.31"
2018M07,"22,647.50"
2018M08,"22,679.26"
2018M09,"22,699.88"
2018M10,"22,719.81"
2018M11,"22,730.62"
2018M12,"22,783.04"
2019M01,"22,850.70"
2019M02,"22,902.78"
2019M03,"22,952.73"
2019M04,"22,996.75"
2019M05,"23,054.54"
2019M06,"23,059.68"
2019M07,"23,068.81"
2019M08,"23,114.56"
2019M09,"23,142.04"
2019M10,"23,154.63"
2019M11,"23,143.46"
2019M12,"23,162.22"
2020M01,"23,164.30"
2020M02,"23,218.20"
2020M03,"23,223.42"
2020M04,"23,241.50"
2020M05,"23,256.50"
2020M06,"23,235.92"
2020M07,"23,222.56"
2020M08,"23,209.00"
2020M09,"23,206.84"
2020M10,"23,197.22"
2020M11,"23,178.96"
2020M12,"23,146.00"
2021M01,"23,137.00"
2021M02,"23,138.61"
2021M03,"23,195.96"
2021M04,"23,203.13"
2021M05,"23,159.29"
2021M06,"23,140.92"
2021M07,"23,197.93"
2021M08,"23,159.54"
2021M09,"23,125.38"
2021M10,"23,154.27"
2021M11,"23,126.58"
2021M12,"23,178.78"
2022M01,"23,102.04"
2022M02,"23,115.00"
2022M03,"23,152.89"
2022M04,"23,112.92"
2022M05,"23,129.44"
2022M06,"23,082.23"
2022M07,"23,187.00"
2022M08,"23,190.41"
2022M09,"23,295.00"
2022M10,"23,564.38"
2022M11,"23,679.35"
2022M12,"23,643.89"
2023M01,"23,604.78"
2023M02,"23,629.75"
2023M03,"23,621.81"
2023M04,"23,615.46"
2023M05,"23,664.50"
2023M06,"23,763.15"
2023M07,"23,763.15"
2023M08,"23,882.15"
2023M09,"24,037.52"
2023M10,"24,079.06"
2023M11,"23,869.96"
2023M12,"23,916.54"
2024M01,"23,983.08"
2024M02,"23,976.09"
2024M03,"23,994.88"
2024M04,"24,140.24"
2024M05,"24,216.46"
2024M06,"24,252.80"
2024M07,"24,251.56"
2024M08,"24,245.85"
